Datum, Tief, Hoch, Tagesendwert, Handelsvolumen
02.01.17, 109.30, 110.80, 110.30, 2330417
03.01.17, 110.11, 112.09, 110.68, 882614
04.01.17, 110.53, 111.70, 111.03, 449615
05.01.17, 109.40, 110.73, 110.00, 746100
06.01.17, 109.80, 112.00, 111.61, 700163
09.01.17, 111.60, 113.10, 112.46, 1297576
10.01.17, 111.80, 112.90, 112.75, 1691504
11.01.17, 111.83, 113.86, 112.17, 1521071
12.01.17, 110.94, 112.60, 111.76, 1073743
13.01.17, 111.60, 112.50, 111.76, 1149538
16.01.17, 111.72, 112.45, 112.00, 861942
17.01.17, 110.00, 112.29, 112.08, 848050
18.01.17, 112.00, 112.70, 112.35, 528968
19.01.17, 111.99, 113.09, 112.71, 778900
20.01.17, 112.14, 113.10, 112.14, 610841
23.01.17, 111.04, 112.50, 111.74, 366744
24.01.17, 110.90, 111.73, 111.51, 734456
25.01.17, 111.70, 113.65, 113.65, 1221101
26.01.17, 113.20, 114.38, 114.00, 1302214
27.01.17, 113.70, 114.46, 114.03, 739897
30.01.17, 112.90, 113.99, 113.35, 1268146
31.01.17, 111.78, 113.50, 111.91, 988174